CSAFP,geo_id,csa_name,csa_pop,city_pop,state,city
304,4738320,"Johnson City-Kingsport-Bristol, TN-VA",598800,73440,Tennessee,Johnson City
556,2079000,"Wichita-Arkansas City-Winfield, KS",687096,396123,Kansas,Wichita
332,3240000,"Las Vegas-Henderson, NV",2392293,660942,Nevada,Las Vegas
246,3722920,"Fayetteville-Lumberton-Pinehurst, NC",693299,209751,North Carolina,Fayetteville
315,4740000,"Knoxville-Morristown-Sevierville, TN",1207137,198175,Tennessee,Knoxville
120,3702140,"Asheville-Waynesville-Brevard, NC",513720,95053,North Carolina,Asheville
172,3712000,"Charlotte-Concord, NC-SC",3387115,911307,North Carolina,Charlotte
400,4751560,"Nashville-Davidson--Murfreesboro, TN",2350738,165423,Tennessee,Murfreesboro
273,4530850,"Greenville-Spartanburg-Anderson, SC",1590636,72822,South Carolina,Greenville
308,0535710,"Jonesboro-Paragould, AR",183133,80655,Arkansas,Jonesboro
538,4075000,"Tulsa-Bartlesville-Muskogee, OK",1165140,410915,Oklahoma,Tulsa
174,4714000,"Chattanooga-Cleveland-Dalton, TN-GA-AL",1003363,187023,Tennessee,Chattanooga
192,4516000,"Columbia-Sumter-Orangeburg, SC",1084112,142083,South Carolina,Columbia
348,0644000,"Los Angeles-Long Beach, CA",18316743,3820963,California,Los Angeles
368,4748000,"Memphis-Clarksdale-Forrest City, TN-MS-AR",1377852,618655,Tennessee,Memphis
290,0137000,"Huntsville-Decatur-Albertville, AL-TN",895383,227571,Alabama,Huntsville
416,4055000,"Oklahoma City-Shawnee, OK",1551717,702654,Oklahoma,Oklahoma City
105,3502000,"Albuquerque-Santa Fe-Los Alamos, NM",1168363,560283,New Mexico,Albuquerque
108,4803000,"Amarillo-Borger, TX",292428,203042,Texas,Amarillo
340,0541000,"Little Rock-North Little Rock, AR",913536,203844,Arkansas,Little Rock
122,1304000,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",7221137,510826,Georgia,Atlanta
334,4041850,"Lawton-Duncan, OK",171015,90226,Oklahoma,Lawton
142,0107000,"Birmingham-Cullman-Talladega, AL",1367706,196518,Alabama,Birmingham
429,0455000,"Phoenix-Mesa, AZ",5124113,1650051,Arizona,Phoenix
356,1380508,"Macon-Bibb County--Warner Robins, GA",436853,84151,Georgia,Warner Robins
496,1369000,"Savannah-Hinesville-Statesboro, GA",640193,147751,Georgia,Savannah
194,0103076,"Columbus-Auburn-Opelika, GA-AL",566030,82030,Alabama,Auburn
352,4845000,"Lubbock-Plainview, TX",396955,266878,Texas,Lubbock
388,0151000,"Montgomery-Selma, AL",421645,195275,Alabama,Montgomery
206,4819000,"Dallas-Fort Worth, TX-OK",8654750,1302859,Texas,Dallas
536,0477000,"Tucson-Nogales, AZ",1112320,547232,Arizona,Tucson
298,2836000,"Jackson-Vicksburg-Brookhaven, MS",687257,143633,Mississippi,Jackson
508,2270000,"Shreveport-Bossier City-Minden, LA",418533,177225,Louisiana,Shreveport
540,4874144,"Tyler-Jacksonville, TX",297426,110325,Texas,Tyler
101,4801000,"Abilene-Sweetwater, TX",195897,130093,Texas,Abilene
