fid,OBJECTID,FEATURE,NAME,ST_ABBREV,FIPS,PLACE_FIPS,geo_id,city_name,city_pop,fid_2,CSAFP,GEOID,GEOIDFQ,NAME_2,NAMELSAD,LSAD,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON,csa_name,csa_pop
"2165","2165","50,000 - 99,999",Beaverton,OR,"41067","05350","4105350","Beaverton, Oregon","96946","166","440","440",330M700US440,"Portland-Vancouver-Salem, OR-WA","Portland-Vancouver-Salem, OR-WA CSA",M0,G3100,"32931781409","512409760","+45.2917994","-122.6239684","Portland-Vancouver-Salem, OR-WA","3286669"
"2231","2231","50,000 - 99,999",Gresham,OR,"41051","31250","4131250","Gresham, Oregon","110678","166","440","440",330M700US440,"Portland-Vancouver-Salem, OR-WA","Portland-Vancouver-Salem, OR-WA CSA",M0,G3100,"32931781409","512409760","+45.2917994","-122.6239684","Portland-Vancouver-Salem, OR-WA","3286669"
"2347","2347","50,000 - 99,999",Portland,ME,"23005","60545","2360545","Portland, Maine","69104","38","438","438",330M700US438,"Portland-Lewiston-South Portland, ME","Portland-Lewiston-South Portland, ME CSA",M0,G3100,"6602713431","2084947620","+43.7286471","-070.3839894","Portland-Lewiston-South Portland, ME","680094"
"2652","2652","100,000 - 249,999",Salem,OR,"41047","64900","4164900","Salem, Oregon","177423","166","440","440",330M700US440,"Portland-Vancouver-Salem, OR-WA","Portland-Vancouver-Salem, OR-WA CSA",M0,G3100,"32931781409","512409760","+45.2917994","-122.6239684","Portland-Vancouver-Salem, OR-WA","3286669"
"2848","2848","50,000 - 99,999",Duluth,MN,"27137","17000","2717000","Duluth, Minnesota","87693","59","228","228",330M700US228,"Duluth-Grand Rapids, MN-WI","Duluth-Grand Rapids, MN-WI CSA",M0,G3100,"28699893467","2750757431","+47.3606126","-092.6914727","Duluth-Grand Rapids, MN-WI","326968"
"2968","2968","50,000 - 99,999",Fargo,ND,"38017","25700","3825700","Fargo, North Dakota","132400","22","244","244",330M700US244,"Fargo-Wahpeton, ND-MN","Fargo-Wahpeton, ND-MN CSA",M0,G3100,"12941711496","52268204","+46.6520046","-096.8942298","Fargo-Wahpeton, ND-MN","285484"
"3281","3281","100,000 - 249,999",Manchester,NH,"33011","45140","3345140","Manchester, New Hampshire","115473","113","148","148",330M700US148,"Boston-Worcester-Providence, MA-RI-NH","Boston-Worcester-Providence, MA-RI-NH CSA",M0,G3100,"23800055629","7148733217","+42.3823379","-071.2392639","Boston-Worcester-Providence, MA-RI-NH","8345067"
"3401","3401","50,000 - 99,999",Haverhill,MA,"25009","29405","2529405","Haverhill, Massachusetts","67398","113","148","148",330M700US148,"Boston-Worcester-Providence, MA-RI-NH","Boston-Worcester-Providence, MA-RI-NH CSA",M0,G3100,"23800055629","7148733217","+42.3823379","-071.2392639","Boston-Worcester-Providence, MA-RI-NH","8345067"
"3502","3502","50,000 - 99,999",Lawrence,MA,"25009","34550","2534550","Lawrence, Massachusetts","88174","113","148","148",330M700US148,"Boston-Worcester-Providence, MA-RI-NH","Boston-Worcester-Providence, MA-RI-NH CSA",M0,G3100,"23800055629","7148733217","+42.3823379","-071.2392639","Boston-Worcester-Providence, MA-RI-NH","8345067"
"3539","3539","50,000 - 99,999",Nashua,NH,"33011","50260","3350260","Nashua, New Hampshire","90997","113","148","148",330M700US148,"Boston-Worcester-Providence, MA-RI-NH","Boston-Worcester-Providence, MA-RI-NH CSA",M0,G3100,"23800055629","7148733217","+42.3823379","-071.2392639","Boston-Worcester-Providence, MA-RI-NH","8345067"
"3652","3652","100,000 - 249,999",Lowell,MA,"25017","37000","2537000","Lowell, Massachusetts","114289","113","148","148",330M700US148,"Boston-Worcester-Providence, MA-RI-NH","Boston-Worcester-Providence, MA-RI-NH CSA",M0,G3100,"23800055629","7148733217","+42.3823379","-071.2392639","Boston-Worcester-Providence, MA-RI-NH","8345067"
"3733","3733","50,000 - 99,999",Lynn,MA,"25009","37490","2537490","Lynn, Massachusetts","101250","113","148","148",330M700US148,"Boston-Worcester-Providence, MA-RI-NH","Boston-Worcester-Providence, MA-RI-NH CSA",M0,G3100,"23800055629","7148733217","+42.3823379","-071.2392639","Boston-Worcester-Providence, MA-RI-NH","8345067"
"3818","3818","50,000 - 99,999",Malden,MA,"25017","37875","2537875","Malden, Massachusetts","65136","113","148","148",330M700US148,"Boston-Worcester-Providence, MA-RI-NH","Boston-Worcester-Providence, MA-RI-NH CSA",M0,G3100,"23800055629","7148733217","+42.3823379","-071.2392639","Boston-Worcester-Providence, MA-RI-NH","8345067"
"3873","3873","50,000 - 99,999",Somerville,MA,"25017","62535","2562535","Somerville, Massachusetts","80407","113","148","148",330M700US148,"Boston-Worcester-Providence, MA-RI-NH","Boston-Worcester-Providence, MA-RI-NH CSA",M0,G3100,"23800055629","7148733217","+42.3823379","-071.2392639","Boston-Worcester-Providence, MA-RI-NH","8345067"
"3893","3893","100,000 - 249,999",Cambridge,MA,"25017","11000","2511000","Cambridge, Massachusetts","118208","113","148","148",330M700US148,"Boston-Worcester-Providence, MA-RI-NH","Boston-Worcester-Providence, MA-RI-NH CSA",M0,G3100,"23800055629","7148733217","+42.3823379","-071.2392639","Boston-Worcester-Providence, MA-RI-NH","8345067"
"3898","3898","500,000 - 999,999",Boston,MA,"25025","07000","2507000","Boston, Massachusetts","652442","113","148","148",330M700US148,"Boston-Worcester-Providence, MA-RI-NH","Boston-Worcester-Providence, MA-RI-NH CSA",M0,G3100,"23800055629","7148733217","+42.3823379","-071.2392639","Boston-Worcester-Providence, MA-RI-NH","8345067"
"3976","3976","50,000 - 99,999",Newton,MA,"25017","45560","2545560","Newton, Massachusetts","88415","113","148","148",330M700US148,"Boston-Worcester-Providence, MA-RI-NH","Boston-Worcester-Providence, MA-RI-NH CSA",M0,G3100,"23800055629","7148733217","+42.3823379","-071.2392639","Boston-Worcester-Providence, MA-RI-NH","8345067"
"4016","4016","50,000 - 99,999",Quincy,MA,"25021","55745","2555745","Quincy, Massachusetts","101607","113","148","148",330M700US148,"Boston-Worcester-Providence, MA-RI-NH","Boston-Worcester-Providence, MA-RI-NH CSA",M0,G3100,"23800055629","7148733217","+42.3823379","-071.2392639","Boston-Worcester-Providence, MA-RI-NH","8345067"
"4155","4155",no data,Framingham,MA,"25017","24960","2524960","Framingham, Massachusetts","71866","113","148","148",330M700US148,"Boston-Worcester-Providence, MA-RI-NH","Boston-Worcester-Providence, MA-RI-NH CSA",M0,G3100,"23800055629","7148733217","+42.3823379","-071.2392639","Boston-Worcester-Providence, MA-RI-NH","8345067"
"4295","4295","50,000 - 99,999",Brockton,MA,"25023","09000","2509000","Brockton, Massachusetts","104884","113","148","148",330M700US148,"Boston-Worcester-Providence, MA-RI-NH","Boston-Worcester-Providence, MA-RI-NH CSA",M0,G3100,"23800055629","7148733217","+42.3823379","-071.2392639","Boston-Worcester-Providence, MA-RI-NH","8345067"
"4322","4322","50,000 - 99,999",Schenectady,NY,"36093","65508","3665508","Schenectady, New York","68545","48","104","104",330M700US104,"Albany-Schenectady, NY","Albany-Schenectady, NY CSA",M0,G3100,"15652463389","527594177","+42.9540614","-073.9005139","Albany-Schenectady, NY","1192181"
"4342","4342","100,000 - 249,999",Worcester,MA,"25027","82000","2582000","Worcester, Massachusetts","207629","113","148","148",330M700US148,"Boston-Worcester-Providence, MA-RI-NH","Boston-Worcester-Providence, MA-RI-NH CSA",M0,G3100,"23800055629","7148733217","+42.3823379","-071.2392639","Boston-Worcester-Providence, MA-RI-NH","8345067"
"4492","4492","50,000 - 99,999",Albany,NY,"36001","01000","3601000","Albany, New York","101220","48","104","104",330M700US104,"Albany-Schenectady, NY","Albany-Schenectady, NY CSA",M0,G3100,"15652463389","527594177","+42.9540614","-073.9005139","Albany-Schenectady, NY","1192181"
"4539","4539","50,000 - 99,999",Saint Cloud,MN,"27145","56896","2756896","St. Cloud, Minnesota","68399","156","378","378",330M700US378,"Minneapolis-St. Paul, MN-WI","Minneapolis-St. Paul, MN-WI CSA",M0,G3100,"28418069793","1513211336","+45.0450358","-093.4695506","Minneapolis-St. Paul, MN-WI","4104786"
"4742","4742","100,000 - 249,999",Syracuse,NY,"36067","73000","3673000","Syracuse, New York","145573","98","532","532",330M700US532,"Syracuse-Auburn, NY","Syracuse-Auburn, NY CSA",M0,G3100,"7967940291","1466365252","+43.1571707","-076.1997477","Syracuse-Auburn, NY","727441"
"4757","4757","50,000 - 99,999",Pawtucket,RI,"44007","54640","4454640","Pawtucket, Rhode Island","75312","113","148","148",330M700US148,"Boston-Worcester-Providence, MA-RI-NH","Boston-Worcester-Providence, MA-RI-NH CSA",M0,G3100,"23800055629","7148733217","+42.3823379","-071.2392639","Boston-Worcester-Providence, MA-RI-NH","8345067"
"4845","4845","100,000 - 249,999",Providence,RI,"44007","59000","4459000","Providence, Rhode Island","190791","113","148","148",330M700US148,"Boston-Worcester-Providence, MA-RI-NH","Boston-Worcester-Providence, MA-RI-NH CSA",M0,G3100,"23800055629","7148733217","+42.3823379","-071.2392639","Boston-Worcester-Providence, MA-RI-NH","8345067"
"4878","4878","100,000 - 249,999",Springfield,MA,"25013","67000","2567000","Springfield, Massachusetts","153672","178","521","521",330M700US521,"Springfield-Amherst Town-Northampton, MA","Springfield-Amherst Town-Northampton, MA CSA",M0,G3100,"4774508874","156641053","+42.3648332","-072.6194063","Springfield-Amherst Town-Northampton, MA","693629"
"4906","4906","50,000 - 99,999",Cranston,RI,"44007","19180","4419180","Cranston, Rhode Island","82640","113","148","148",330M700US148,"Boston-Worcester-Providence, MA-RI-NH","Boston-Worcester-Providence, MA-RI-NH CSA",M0,G3100,"23800055629","7148733217","+42.3823379","-071.2392639","Boston-Worcester-Providence, MA-RI-NH","8345067"
"4908","4908","50,000 - 99,999",Fall River,MA,"25005","23000","2523000","Fall River, Massachusetts","93864","113","148","148",330M700US148,"Boston-Worcester-Providence, MA-RI-NH","Boston-Worcester-Providence, MA-RI-NH CSA",M0,G3100,"23800055629","7148733217","+42.3823379","-071.2392639","Boston-Worcester-Providence, MA-RI-NH","8345067"
"4917","4917","50,000 - 99,999",New Bedford,MA,"25005","45000","2545000","New Bedford, Massachusetts","100683","113","148","148",330M700US148,"Boston-Worcester-Providence, MA-RI-NH","Boston-Worcester-Providence, MA-RI-NH CSA",M0,G3100,"23800055629","7148733217","+42.3823379","-071.2392639","Boston-Worcester-Providence, MA-RI-NH","8345067"
"5002","5002","50,000 - 99,999",Warwick,RI,"44003","74300","4474300","Warwick, Rhode Island","82997","113","148","148",330M700US148,"Boston-Worcester-Providence, MA-RI-NH","Boston-Worcester-Providence, MA-RI-NH CSA",M0,G3100,"23800055629","7148733217","+42.3823379","-071.2392639","Boston-Worcester-Providence, MA-RI-NH","8345067"
"5016","5016","100,000 - 249,999",Rochester,NY,"36055","63000","3663000","Rochester, New York","207264","93","464","464",330M700US464,"Rochester-Batavia-Seneca Falls, NY","Rochester-Batavia-Seneca Falls, NY CSA",M0,G3100,"9698055628","5209083319","+43.1427949","-077.5703602","Rochester-Batavia-Seneca Falls, NY","1141965"
"5076","5076","10,000 - 49,999",Blaine,MN,"27003","06382","2706382","Blaine, Minnesota","73762","156","378","378",330M700US378,"Minneapolis-St. Paul, MN-WI","Minneapolis-St. Paul, MN-WI CSA",M0,G3100,"28418069793","1513211336","+45.0450358","-093.4695506","Minneapolis-St. Paul, MN-WI","4104786"
"5216","5216","50,000 - 99,999",Brooklyn Park,MN,"27053","07966","2707966","Brooklyn Park, Minnesota","82027","156","378","378",330M700US378,"Minneapolis-St. Paul, MN-WI","Minneapolis-St. Paul, MN-WI CSA",M0,G3100,"28418069793","1513211336","+45.0450358","-093.4695506","Minneapolis-St. Paul, MN-WI","4104786"
"5264","5264","50,000 - 99,999",Maple Grove,MN,"27053","40166","2740166","Maple Grove, Minnesota","71275","156","378","378",330M700US378,"Minneapolis-St. Paul, MN-WI","Minneapolis-St. Paul, MN-WI CSA",M0,G3100,"28418069793","1513211336","+45.0450358","-093.4695506","Minneapolis-St. Paul, MN-WI","4104786"
"5394","5394","50,000 - 99,999",Plymouth,MN,"27053","51730","2751730","Plymouth, Minnesota","77638","156","378","378",330M700US378,"Minneapolis-St. Paul, MN-WI","Minneapolis-St. Paul, MN-WI CSA",M0,G3100,"28418069793","1513211336","+45.0450358","-093.4695506","Minneapolis-St. Paul, MN-WI","4104786"
"5430","5430","250,000 - 499,999",Minneapolis,MN,"27053","43000","2743000","Minneapolis, Minnesota","425142","156","378","378",330M700US378,"Minneapolis-St. Paul, MN-WI","Minneapolis-St. Paul, MN-WI CSA",M0,G3100,"28418069793","1513211336","+45.0450358","-093.4695506","Minneapolis-St. Paul, MN-WI","4104786"
"5474","5474","250,000 - 499,999",Saint Paul,MN,"27123","58000","2758000","St. Paul, Minnesota","303827","156","378","378",330M700US378,"Minneapolis-St. Paul, MN-WI","Minneapolis-St. Paul, MN-WI CSA",M0,G3100,"28418069793","1513211336","+45.0450358","-093.4695506","Minneapolis-St. Paul, MN-WI","4104786"
"5480","5480","100,000 - 249,999",Green Bay,WI,"55009","31000","5531000","Green Bay, Wisconsin","105734","63","267","267",330M700US267,"Green Bay-Shawano, WI","Green Bay-Shawano, WI CSA",M0,G3100,"8082996251","2596101807","+44.7460629","-088.1079420","Green Bay-Shawano, WI","377217"
"5500","5500","10,000 - 49,999",Woodbury,MN,"27163","71428","2771428","Woodbury, Minnesota","79530","156","378","378",330M700US378,"Minneapolis-St. Paul, MN-WI","Minneapolis-St. Paul, MN-WI CSA",M0,G3100,"28418069793","1513211336","+45.0450358","-093.4695506","Minneapolis-St. Paul, MN-WI","4104786"
"5503","5503","100,000 - 249,999",Hartford,CT,"09003","37000","0937000","Hartford, Connecticut","119674","105","405","405",330M700US405,"New Haven-Hartford-Waterbury, CT","New Haven-Hartford-Waterbury, CT CSA",M0,G3100,"10800479449","1262415415","+41.6368458","-072.6152118","New Haven-Hartford-Waterbury, CT","2665618"
"5517","5517","50,000 - 99,999",Eau Claire,WI,"55035","22300","5522300","Eau Claire, Wisconsin","70469","125","232","232",330M700US232,"Eau Claire-Menomonie, WI","Eau Claire-Menomonie, WI CSA",M0,G3100,"6465742619","139654431","+44.9409807","-091.4886740","Eau Claire-Menomonie, WI","220667"
"5690","5690","50,000 - 99,999",Bloomington,MN,"27053","06616","2706616","Bloomington, Minnesota","87378","156","378","378",330M700US378,"Minneapolis-St. Paul, MN-WI","Minneapolis-St. Paul, MN-WI CSA",M0,G3100,"28418069793","1513211336","+45.0450358","-093.4695506","Minneapolis-St. Paul, MN-WI","4104786"
"5732","5732","50,000 - 99,999",New Britain,CT,"09003","50370","0950370","New Britain, Connecticut","74064","105","405","405",330M700US405,"New Haven-Hartford-Waterbury, CT","New Haven-Hartford-Waterbury, CT CSA",M0,G3100,"10800479449","1262415415","+41.6368458","-072.6152118","New Haven-Hartford-Waterbury, CT","2665618"
"5743","5743","50,000 - 99,999",Eagan,MN,"27037","17288","2717288","Eagan, Minnesota","67401","156","378","378",330M700US378,"Minneapolis-St. Paul, MN-WI","Minneapolis-St. Paul, MN-WI CSA",M0,G3100,"28418069793","1513211336","+45.0450358","-093.4695506","Minneapolis-St. Paul, MN-WI","4104786"
"5888","5888",no data,Cheektowaga,NY,"36029","15000","3615000","Cheektowaga CDP, New York","75443","114","160","160",330M700US160,"Buffalo-Cheektowaga-Olean, NY","Buffalo-Cheektowaga-Olean, NY CSA",M0,G3100,"7441796635","2112432297","+42.7528037","-078.7396939","Buffalo-Cheektowaga-Olean, NY","1231204"
